workerid,proliferate.condition,affiliation,age,comments,confused,confused_prevented,confusion,education,enjoyment,fairprice,gender,language,problems,race,error
1170,main,3,25,,No,No,,3,2,$1.50,Male,english,no,White,
1124,main,6,31,,Yes,,,3,1,$1,Male,English,no,White,
1031,main,0,24,,No,No,,4,2,$1,Female,English,Nope! :),White,
1053,main,5,20,,No,No,,3,2,,Female,English,,White,
1430,main,3,23,"This was fun, thank you! Best of luck :)",No,,,4,2,$2,Female,English,,White,
1647,main,3,25,N/A,No,,N/A,4,1,2.00 USD,Male,English,No,White,
1321,main,3,68,kinda' judging racism and sexism,No,No,,5,1,1.00,Female,English,no,White,
1634,main,0,33,,No,,,3,2,1.05,Male,English,,White,
1215,main,0,59,,No,,,2,2,$1,Male,English ,,White,
1297,main,1,40,It was short!,No,,,5,2,1.00,Male,English,no,White,
1494,main,0,52,,Yes,No,first clip does not end with Saturday the man says Saturday I count,3,1,2.00,Male,English,"had to enter Saturday to progress past trial, conversation is misspelled on page after trial","Asian, White",
1046,main,0,20,,No,No,,2,1,$1,Female,English,,White,
988,main,3,23,,No,No,,1,1,$1,Female,English,,Asian,
1501,main,6,500,"This was a high quality study, no issues at all, Thank You.",No,,,3,2,2.00,Male,English,None,White,
1036,main,1,58,enjoy,No,No,,2,2,1.15,Female,english,no,AA,
1524,main,2,70,Thank you!,Yes,No,"In the practice, the last I put down the last word as ""Saturday,"" but the speaker said something indistinguishable after that. ",5,2,1.50,Female,English,no,White,
1694,main,3,30,,No,No,,5,1,2,Male,English,no,"Latino, White",
1310,main,1,31,N/A,No,,N/A,3,1,one dollar,Male,English,N/A,White,
1510,main,1,42,,No,,,5,1,Ok,Female,Engish,No,White,
1196,main,5,50,no,No,,,2,1,2.00,Female,English,it did get hung up on 4th page and I had to reload and start over again.,White,
1317,main,0,25,,No,,,4,1,$1,Male,english,,AA,
1022,main,4,36,,Yes,Yes,,4,1,$1.50,Female,English,,White,
1224,main,4,41,,No,No,nothing,4,1,2,Male,English,no,White,
1681,main,2,29,,No,No,,3,1,$1,Male,English,No problems or bugs.,White,
1309,main,3,63,This survey was user-friendly thank you.,No,No,NA,3,1,2.00,Female,English,No,White,
1299,main,3,28,only said 1.50 because we pay taxes,No,,n/a,4,2,1.50 ,Female,english,no,White,
1481,main,3,21,,No,No,,3,1,Yes,Male,English,,AA,
1154,main,0,50,,No,No,,4,2,yes,Female,English,no,Asian,
1688,main,4,38,,No,No,,4,1,2,Male,english,,White,
1087,main,3,43,,No,No,,3,1,1.00,Female,english,,White,
1548,main,2,66,,No,,,3,1,what ever your able to give,Female,english,no,White,
1049,main,0,52,,No,No,,4,2,1.5,Female,English,,White,
1019,main,1,39,,No,,,2,2,1.00,Male,English,No,White,
1033,main,3,48,,No,No,,-1,1,1.00,Male,english,,White,
1090,main,-1,27,It was fine. Thanks for the opportunity.,Yes,No,The practice audio clip had me repeating it for at least a minute because I couldn't make out the final word. I had to refresh the page and fortunately I got a working/audible practice clip.,4,1,$1.25,Male,English,Yes; the practice clip's final word wasn't audible until I refreshed the page and got a different clip.,Asian,
1405,main,3,35,,No,,,4,1,$1,Female,English,No,White,
1164,main,0,,,No,No,,3,1,50 cents,Female,english,,White,
1375,main,3,59,,No,No,,4,1,$1,Male,English,no,White,
1620,main,4,28,,No,,n/a,3,1,yes,Male,english,no,White,
1423,main,0,56,,No,,,4,1,$1,Male,English,no,White,
1239,main,3,58,"The sound quality was very good, as I had an easy time listening to the two people.  Thank you for sparking my interest in conversation and looking at it from a different perspective.",No,,,3,2,1.25,Female,English,No,White,
1132,main,2,49,none,No,No,,4,1,2,Male,English,none,Asian,
1568,main,0,39,,Yes,No,I didn't know what they were going to or who they were waiting for,3,2,price is fine,Female,english,no,White,
1514,main,5,49,Thank you!,No,,,2,2,1.05,Female,English,none,White,
1159,main,1,36,,Yes,No,The nature of the conversations.,5,1,I guess,Male,English,No,"Asian, White",
1365,main,3,30,,Yes,Yes,They never said where they were going,3,1,Sure,Female,English,,White,
1595,main,0,25,,No,No,,0,1,$5,Male,english,nadda,White,
1400,main,0,43,,No,,,5,-1,,Female,English,,AA,
1485,main,1,35,See confused comment above. ,Yes,Yes,"In the practice clip, the last word I understood was ""Saturday"" However, something was mumbled immediately after that but I couldn't understand it. ",4,1,1.50,Male,English,Yeah the practice dialog was tougher to grade with my ears than the main clip.,White,
1393,main,-1,30,,No,No,,2,2,Yes,Female,english,No,"Latino, White",
1304,main,2,31,,No,,,4,1,1.50,Male,English,None,White,
1342,main,0,65,,No,No,,5,1,1.05 pounds is ok,Female,English,,White,
1114,main,5,37,,No,,,3,1,1.00,Male,english,,Latino,
1655,main,0,48,,No,,,3,1,1.25,Male,English,,White,
1521,main,0,37,,No,No,,4,2,1.05,Female,english,,White,
1294,main,0,31,,No,,,5,1,1.5,Male,English,,White,
1102,main,0,35,,No,,,3,2,.89,Female,english,,White,
1202,main,2,33,,No,,,4,1,1.00,Male,english,,AA,
1558,main,0,67,,No,,,4,1,.75,Female,English,,White,
1505,main,0,43,,No,,,3,2,,Female,english,n/a,"AA, White",
1258,main,3,24,,No,,,4,2,yes,Male,English,,White,
1480,main,6,59,,No,,,4,1,5.00,Male,English,no,White,
1522,main,3,63,none,No,No,,2,-1,3.00,Male,english,,White,
1585,main,0,36,No comments,No,No,,5,1,1.25,Female,English,no,White,
1296,main,0,34,,No,,n/a,4,2,1.00,Female,English,no,White,
1073,main,4,47,the last word in the practice confused me for a second but not much,No,No,,4,2,2,Male,english,no,White,
1157,main,0,39,,No,,,4,1,$1,Male,English,No,White,
991,main,0,53,,No,No,,4,2,2.00,Female,English,,"Latino, White",
1604,main,0,24,,No,No,,4,1,$1.50,Male,English,No,White,
1234,main,0,30,,No,,,4,1,,Female,English,None,"Asian, White",
1570,main,6,31,,No,,,4,1,$1.00,Male,English,"Nope, everything worked fine.",White,
1131,main,2,42,,No,,,4,1,$1,Female,English,No,AA,
1512,main,3,28,,No,No,,3,1,,Male,English ,,AA,
1355,main,0,43,,No,No,,5,1,.30,Male,English,,White,
995,main,0,37,n/a,No,,n/a,4,1,$2,Male,English,No,White,
1188,main,0,38,"I've noticed that some studies really struggle with demographic questions, their bias on full display.  I appreciate you allowing us to choose more than one race.  But what's up with ""African American?""  You didn't use ""European American,"" so why use AA? It's like we're always being reminded that we belong somewhere else, but whites belong where ever they happen to be.  And where is the representation for the First Peoples of ""America?""  ",No,,,4,1,3 dollars,Male,English,,"AA, White",
984,main,2,21,,No,,N/A,3,1,Yes,Female,English,No,White,
1677,main,6,67,,No,,,3,1,1.00,Male,English,No,,
1119,main,1,28,It would be nice if I could type numbers for ratings instead of moving sliders so I could give more precise ratings.,Yes,No,"During the practice task, I think the speaker was mumbling near the end of the audio clip so it was difficult for me to determine what he was saying.",5,1,0.40,Female,English,"Besides the minor issue in the practice task that I previously mentioned, I did not have any issues.",Asian,
1028,main,6,53,none,No,No,,4,1,2.00,Female,English,no,White,
1491,main,2,27,,No,,,2,2,80 cents,Male,English,No,White,
1637,main,3,22,,No,,,2,1,don't know ,Male,english,no,White,
1144,main,3,39,,No,No,,5,1,,Female,english,no,White,
1621,main,0,27,,No,No,N/A,4,0,$5,Male,English,N/A,White,
1241,main,2,50,no comments,No,,,5,2,1.25,Female,English,no issues or bugs,White,
1277,main,6,52,,No,No,n/a,4,2,$1.30,Male,English,none,White,
1089,main,1,40,none,No,,N/A,5,1,$2USD,Female,English,no,Asian,
1307,main,6,48,,No,No,,3,1,1.50,Female,english,no,PI,
1371,main,0,20,"Other than the attention check, the study was great! Easy to understand overall",Yes,No,The attention check was ridiculously difficult to understanding what the last word was. I kept hearing 'count' over and over again no matter how many times I listened to the audio clip. The correct answer was 'think.',3,1,$1.50,Female,English,,Latino,
1597,main,3,28,,No,No,,4,1,$3,Male,English,,White,
1446,main,3,24,,No,,,3,1,$5,Male,English,,AA,
993,main,2,33,,No,No,No,2,2,1.25,Female,English,No,White,
1427,main,5,51,,No,,,5,1,,Male,English,,White,
1023,main,6,29,I have no comments.,No,,,4,2,1.25,Female,English,No,"Latino, White",
1690,main,3,71,,No,,,5,1,,Male,English,,White,
1404,main,1,36,,Yes,,,3,1,1.50,Male,English,,AA,
1189,main,0,67,none,No,,N/A,2,1,1.50,Female,English,none,White,
1616,main,6,38,nothing in particular ,No,No,n/a,2,1,i accepted the quoted rate,Male,English,no,White,
1349,main,3,38,Thank you,Yes,No,,3,2,1.00,Female,English,,White,
1219,main,0,27,,No,,,3,1,$2,Female,English,,"AA, White",
1646,main,6,57,,No,,,3,2,1.00 USD,Male,English,,White,
1203,main,2,41,,No,No,,5,1,1.75,Female,english,this font is small and hard to read,White,
1360,main,3,57,,No,,,4,1,What you offered was enough to make me do it. ,Female,English,No,White,
1057,main,0,23,,No,No,,2,1,1.50,Female,english,,AA,
1024,main,4,44,Good luck to your team,No,No,,2,2,1.00/.75,Female,english,,White,
1626,main,3,49,,No,No,,4,0,2.50,Male,English,,Asian,
1602,main,2,38,,No,No,,2,1,1.00,Male,English,none,White,
1622,main,0,32,I actually enjoyed participating in this experiment. Thank you.,No,No,N/A,4,1,1,Male,English,"No, I had no issues while taking this experiment.",White,
1664,main,3,30,Thank you for the opportunity to participate and good luck with your study.,No,,N/A,4,2,1.50,Male,English,N/A,White,
1582,main,1,31,,No,,,2,1,$1.50,Female,English,,AA,
1382,main,3,37,None,No,No,Nothing,2,2,$5,Male,English,None,White,
1020,main,1,34,,No,,,3,1,Yes,Female,english,No,Asian,
1497,main,0,34,,No,,,4,1,1.32,Male,English,No,White,
1037,main,1,26,,No,,N/A,5,1,2 dollars,Male,English,No,Latino,
1200,main,6,66,,No,No,,5,2,1.25,Female,English,,White,
